LdStMov     BrJump      ULA1        ULA2
movl 12     nop         nop         nop     01111100 11111111 11111111 11111111
movh 1      nop         add 1, 0    nop     01100001 11111111 10000100 11111111
movl 3      nop         nop         nop     01110011 11111111 11111111 11111111
nop         nop         add 3, 0    nop     11111111 11111111 10001100 11111111
movh 0      brzr 1, 3   nop         nop     01100000 00000111 11111111 11111111
movl 1      nop         nop         nop     01110001 11111111 11111111 11111111
nop         nop         sub 1,0     nop     11111111 11111111 10010100 11111111
st 1, 2     nop         nop         nop     01010110 11111111 11111111 11111111
movh 1      nop         nop         nop     01100001 11111111 11111111 11111111
movl 4      nop         nop         nop     01110100 11111111 11111111 11111111
movh 0      nop         add 1, 0    nop     01100000 11111111 10000100 11111111
movl 12     nop         nop         nop     01111100 11111111 11111111 11111111
nop         nop         add 2, 0    nop     11111111 11111111 10001000 11111111
st 1, 2     nop         nop         nop     01010110 11111111 11111111 11111111
movl 11     nop         nop         nop     01111101 11111111 11111111 11111111
nop         ji -12      sub 2,0     nop     11111111 
